,accepted_species,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,Genus
1185,Stenostomum acutatum,767116-1,Stenostomum acutatum,Stenostomum acutatum DC.,Rubiaceae,Species,Stenostomum,Stenostomum C.F.Gaertn.,197565,35392-1,Genus,197570,767116-1,Species,Accepted,Rubiaceae,,Stenostomum,,acutatum,,,,DC.,,Prodr., 4: 460,(1830),,Caribbean,shrub or tree,wet tropical,Stenostomum acutatum,DC.,197570,,,,197565,767116-1,,Y,Stenostomum acutatum DC.,767116-1,197570,Stenostomum
1186,Caralluma plicatiloba,95333-1,Caralluma plicatiloba,Caralluma plicatiloba Lavranos,Apocynaceae,Species,Caralluma,Caralluma R.Br.,502128,30343894-2,Genus,502350,95333-1,Species,Accepted,Apocynaceae,,Caralluma,,plicatiloba,,,,Lavranos,,J. S. African Bot., 28: 211,(1962),,SW. Arabian Pen.,succulent subshrub,desert or dry shrubland,Caralluma plicatiloba,Lavranos,502350,,,,502128,95333-1,,Y,Caralluma plicatiloba Lavranos,95333-1,502350,Caralluma
1187,Caralluma stalagmifera,95370-1,Caralluma stalagmifera,Caralluma stalagmifera C.E.C.Fisch.,Apocynaceae,Species,Caralluma,Caralluma R.Br.,502128,30343894-2,Genus,502401,95370-1,Species,Accepted,Apocynaceae,,Caralluma,,stalagmifera,,,,C.E.C.Fisch.,,Bull. Misc. Inform. Kew, 1925: 430,(1925),,SW. India,succulent subshrub,seasonally dry tropical,Caralluma stalagmifera,C.E.C.Fisch.,502401,,,,502128,95370-1,,Y,Caralluma stalagmifera C.E.C.Fisch.,95370-1,502401,Caralluma
1188,Oxyanthus speciosus,758814-1,Oxyanthus speciosus,Oxyanthus speciosus DC.,Rubiaceae,Species,Oxyanthus,Oxyanthus DC.,144929,35041-1,Genus,144994,758814-1,Species,Accepted,Rubiaceae,,Oxyanthus,,speciosus,,,,DC.,,Ann. Mus. Hist. Nat., 9: 218,(1807),,Trop. & S. Africa,shrub or tree,wet tropical,Oxyanthus speciosus,DC.,144994,,,,144929,758814-1,,Y,Oxyanthus speciosus DC.,758814-1,144994,Oxyanthus
1189,Sarcolobus globosus,100926-1,Sarcolobus globosus,Sarcolobus globosus Wall.,Apocynaceae,Species,Sarcolobus,Sarcolobus R.Br.,511017,3671-1,Genus,511026,100926-1,Species,Accepted,Apocynaceae,,Sarcolobus,,globosus,,,,Wall.,,Asiat. Res., 12: 568,(1816),,NE. India to New Guinea,climbing shrub,seasonally dry tropical,Sarcolobus globosus,Wall.,511026,,,,511017,100926-1,,Y,Sarcolobus globosus Wall.,100926-1,511026,Sarcolobus
1190,Stenostomum portoricense,245035-2,Stenostomum portoricense,Stenostomum portoricense Britton & P.Wilson,Rubiaceae,Species,Stenostomum,Stenostomum C.F.Gaertn.,197565,35392-1,Genus,197616,245035-2,Species,Accepted,Rubiaceae,,Stenostomum,,portoricense,,,,Britton & P.Wilson,,Bot. Porto Rico, 6: 564,(1930),,Puerto Rico,shrub or tree,wet tropical,Stenostomum portoricense,Britton & P.Wilson,197616,,,,197565,245035-2,,Y,Stenostomum portoricense Britton & P.Wilson,245035-2,197616,Stenostomum
1191,Mascarenhasia arborescens,80121-1,Mascarenhasia arborescens,Mascarenhasia arborescens A.DC.,Apocynaceae,Species,Mascarenhasia,Mascarenhasia A.DC.,121021,2425-1,Genus,121027,80121-1,Species,Accepted,Apocynaceae,,Mascarenhasia,,arborescens,,,,A.DC.,A.P.de Candolle,Prodr., 8: 488,(1844),,"Kenya to Mozambique, W. Indian Ocean",shrub or tree,seasonally dry tropical,Mascarenhasia arborescens,A.DC.,121027,,,,121021,80121-1,,Y,Mascarenhasia arborescens A.DC.,80121-1,121027,Mascarenhasia
1192,Stapelia gigantea,101594-1,Stapelia gigantea,Stapelia gigantea N.E.Br.,Apocynaceae,Species,Stapelia,Stapelia L.,511845,331981-2,Genus,512006,101594-1,Species,Accepted,Apocynaceae,,Stapelia,,gigantea,,,,N.E.Br.,,Gard. Chron.,", n.s., 7: 684",(1877),,S. Trop. & S. Africa,succulent subshrub,seasonally dry tropical,Stapelia gigantea,N.E.Br.,512006,,,,511845,101594-1,,Y,Stapelia gigantea N.E.Br.,101594-1,512006,Stapelia
1193,Stapelia hirsuta,101613-1,Stapelia hirsuta,Stapelia hirsuta L.,Apocynaceae,Species,Stapelia,Stapelia L.,511845,331981-2,Genus,512033,101613-1,Species,Accepted,Apocynaceae,,Stapelia,,hirsuta,,,,L.,,Sp. Pl.,: 217,(1753),,SW. Namibia to Cape Prov.,succulent subshrub,desert or dry shrubland,Stapelia hirsuta,L.,512033,,,,511845,101613-1,,Y,Stapelia hirsuta L.,101613-1,512033,Stapelia
1194,Vincetoxicum japonicum,102823-1,Vincetoxicum japonicum,Vincetoxicum japonicum C.Morren & Decne.,Apocynaceae,Species,Vincetoxicum,Vincetoxicum Wolf,513384,30010004-2,Genus,513614,102823-1,Species,Accepted,Apocynaceae,,Vincetoxicum,,japonicum,,,,C.Morren & Decne.,,Bull. Acad. Roy. Sci. Bruxelles, 3: 17,(1836),,"S. Korea, C. & S. Japan",scrambling perennial,temperate,Vincetoxicum japonicum,C.Morren & Decne.,513614,,,,513384,102823-1,,Y,Vincetoxicum japonicum C.Morren & Decne.,102823-1,513614,Vincetoxicum
1195,Vincetoxicum mongolicum,102881-1,Vincetoxicum mongolicum,Vincetoxicum mongolicum Maxim.,Apocynaceae,Species,Vincetoxicum,Vincetoxicum Wolf,513384,30010004-2,Genus,513678,102881-1,Species,Accepted,Apocynaceae,,Vincetoxicum,,mongolicum,,,,Maxim.,,Bull. Acad. Imp. Sci. Saint-Pétersbourg,", sér. 3, 23: 356",(1877),,Qinghai to Mongolia and N. China,perennial,temperate,Vincetoxicum mongolicum,Maxim.,513678,,,,513384,102881-1,,Y,Vincetoxicum mongolicum Maxim.,102881-1,513678,Vincetoxicum
1196,Vincetoxicum polyanthum,102934-1,Vincetoxicum polyanthum,Vincetoxicum polyanthum Kuntze,Apocynaceae,Species,Vincetoxicum,Vincetoxicum Wolf,513384,30010004-2,Genus,513748,102934-1,Species,Accepted,Apocynaceae,,Vincetoxicum,,polyanthum,,,,Kuntze,,Revis. Gen. Pl., 2: 424,(1891),,N. & E. Australia,climber,wet tropical,Vincetoxicum polyanthum,Kuntze,513748,513148,Benth.,,513384,102934-1,,Y,Vincetoxicum polyanthum Kuntze,102934-1,513748,Vincetoxicum
1197,Vincetoxicum scandens,102974-1,Vincetoxicum scandens,Vincetoxicum scandens Sommier & Levier,Apocynaceae,Species,Vincetoxicum,Vincetoxicum Wolf,513384,30010004-2,Genus,513792,102974-1,Species,Accepted,Apocynaceae,,Vincetoxicum,,scandens,,,,Sommier & Levier,,Trudy Imp. S.-Peterburgsk. Bot. Sada, 12: 158,(1892),,E. Europe to N. Iran,climbing shrub,temperate,Vincetoxicum scandens,Sommier & Levier,513792,,,,513384,102974-1,,Y,Vincetoxicum scandens Sommier & Levier,102974-1,513792,Vincetoxicum
1198,Diplospora fruticosa,748500-1,Diplospora fruticosa,Diplospora fruticosa Hemsl.,Rubiaceae,Species,Diplospora,Diplospora DC.,62525,327853-2,Genus,62542,748500-1,Species,Accepted,Rubiaceae,,Diplospora,,fruticosa,,,,Hemsl.,,"J. Linn. Soc., Bot.", 23: 283,(1887),,SE. Tibet to S. China and Vietnam,shrub or tree,subtropical,Diplospora fruticosa,Hemsl.,62542,,,,62525,748500-1,,Y,Diplospora fruticosa Hemsl.,748500-1,62542,Diplospora
1199,Saprosma scortechinii,766050-1,Saprosma scortechinii,Saprosma scortechinii King & Gamble,Rubiaceae,Species,Saprosma,Saprosma Blume,184578,35295-1,Genus,184630,766050-1,Species,Accepted,Rubiaceae,,Saprosma,,scortechinii,,,,King & Gamble,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.", 73: 99,(1904),,Pen. Malaysia,shrub,wet tropical,Saprosma scortechinii,King & Gamble,184630,,,,184578,766050-1,,Y,Saprosma scortechinii King & Gamble,766050-1,184630,Saprosma
1200,Vincetoxicum ascyrifolium,77176914-1,Vincetoxicum ascyrifolium,Vincetoxicum ascyrifolium Franch. & Sav.,Apocynaceae,Species,Vincetoxicum,Vincetoxicum Wolf,513384,30010004-2,Genus,513419,77176914-1,Species,Accepted,Apocynaceae,,Vincetoxicum,,ascyrifolium,,,,Franch. & Sav.,,Enum. Pl. Jap., 2: 441,(1877),,N. & E. China to Russian Far East and Japan,perennial,temperate,Vincetoxicum ascyrifolium,Franch. & Sav.,513419,,,,513384,77176914-1,,Y,Vincetoxicum ascyrifolium Franch. & Sav.,77176914-1,513419,Vincetoxicum
1201,Vincetoxicum amplexicaule,102666-1,Vincetoxicum amplexicaule,Vincetoxicum amplexicaule Siebold & Zucc.,Apocynaceae,Species,Vincetoxicum,Vincetoxicum Wolf,513384,30010004-2,Genus,513408,102666-1,Species,Accepted,Apocynaceae,,Vincetoxicum,,amplexicaule,,,,Siebold & Zucc.,,Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss., 4(3): 162,(1846),,China to Russian Far East and S. Japan,perennial,temperate,Vincetoxicum amplexicaule,Siebold & Zucc.,513408,,,,513384,102666-1,,Y,Vincetoxicum amplexicaule Siebold & Zucc.,102666-1,513408,Vincetoxicum
1202,Voacanga africana,82719-1,Voacanga africana,Voacanga africana Stapf,Apocynaceae,Species,Voacanga,Voacanga Thouars,213938,2620-1,Genus,213939,82719-1,Species,Accepted,Apocynaceae,,Voacanga,,africana,,,,Stapf,,"J. Linn. Soc., Bot.", 30: 87,(1894),,Trop. Africa,shrub or tree,seasonally dry tropical,Voacanga africana,Stapf,213939,,,,213938,82719-1,,Y,Voacanga africana Stapf,82719-1,213939,Voacanga
1203,Tricalysia okelensis,768094-1,Tricalysia okelensis,Tricalysia okelensis Hiern,Rubiaceae,Species,Tricalysia,Tricalysia A.Rich. ex DC.,207753,325987-2,Genus,207922,768094-1,Species,Accepted,Rubiaceae,,Tricalysia,,okelensis,,,,Hiern,D.Oliver & auct. suc. (eds.),Fl. Trop. Afr., 3: 122,(1877),,W. Trop. Africa to South Sudan,shrub or tree,seasonally dry tropical,Tricalysia okelensis,Hiern,207922,,,,207753,768094-1,,Y,Tricalysia okelensis Hiern,768094-1,207922,Tricalysia
1204,Voacanga thouarsii,82760-1,Voacanga thouarsii,Voacanga thouarsii Roem. & Schult.,Apocynaceae,Species,Voacanga,Voacanga Thouars,213938,2620-1,Genus,213980,82760-1,Species,Accepted,Apocynaceae,,Voacanga,,thouarsii,,,,Roem. & Schult.,,"Syst. Veg., ed. 15[bis].", 4: 439,(1819),,"Trop. & S. Africa, Madagascar",tree,seasonally dry tropical,Voacanga thouarsii,Roem. & Schult.,213980,,,,213938,82760-1,,Y,Voacanga thouarsii Roem. & Schult.,82760-1,213980,Voacanga
1205,Voacanga chalotiana,82727-1,Voacanga chalotiana,Voacanga chalotiana Pierre ex Stapf,Apocynaceae,Species,Voacanga,Voacanga Thouars,213938,2620-1,Genus,213948,82727-1,Species,Accepted,Apocynaceae,,Voacanga,,chalotiana,,,,Pierre ex Stapf,D.Oliver & auct. suc. (eds.),Fl. Trop. Afr., 4(1): 158,(1902),,WC. Trop. Africa to South Sudan and NE. Angola,tree,wet tropical,Voacanga chalotiana,Pierre ex Stapf,213948,,,,213938,82727-1,,Y,Voacanga chalotiana Pierre ex Stapf,82727-1,213948,Voacanga
1206,Ophiorrhiza filistipula,758438-1,Ophiorrhiza filistipula,Ophiorrhiza filistipula Miq.,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140370,758438-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,filistipula,,,,Miq.,,Fl. Ned. Ind., 2: 351,(1857),,Sumatera to Jawa,,wet tropical,Ophiorrhiza filistipula,Miq.,140370,,,,140250,758438-1,,Y,Ophiorrhiza filistipula Miq.,758438-1,140370,Ophiorrhiza
1207,Amsonia ciliata,76904-1,Amsonia ciliata,Amsonia ciliata Walter,Apocynaceae,Species,Amsonia,Amsonia Walter,8432,2194-1,Genus,8441,76904-1,Species,Accepted,Apocynaceae,,Amsonia,,ciliata,,,,Walter,,Fl. Carol.,: 98,(1788),,C. & SE. U.S.A.,perennial,temperate,Amsonia ciliata,Walter,8441,,,,8432,76904-1,,Y,Amsonia ciliata Walter,76904-1,8441,Amsonia
1208,Ophiorrhiza kuroiwae,50884217-1,Ophiorrhiza kuroiwae,Ophiorrhiza kuroiwae Makino,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140433,50884217-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,kuroiwae,,,,Makino,,Bot. Mag. (Tokyo), 20: 5,(1906),,Nansei-shoto to Philippines (Batan Is.),perennial or subshrub,subtropical,Ophiorrhiza kuroiwae,Makino,140433,,,,140250,50884217-1,,Y,Ophiorrhiza kuroiwae Makino,50884217-1,140433,Ophiorrhiza
1209,Ophiorrhiza longiflora,758505-1,Ophiorrhiza longiflora,Ophiorrhiza longiflora Blume,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140461,758505-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,longiflora,,,,Blume,,Bijdr. Fl. Ned. Ind.,: 977,(1826),,W. Malesia,perennial or subshrub,wet tropical,Ophiorrhiza longiflora,Blume,140461,,,,140250,758505-1,,Y,Ophiorrhiza longiflora Blume,758505-1,140461,Ophiorrhiza
1210,Amsonia grandiflora,12082-2,Amsonia grandiflora,Amsonia grandiflora Alexander,Apocynaceae,Species,Amsonia,Amsonia Walter,8432,2194-1,Genus,8451,12082-2,Species,Accepted,Apocynaceae,,Amsonia,,grandiflora,,,,Alexander,,Torreya, 34: 116,(1934),,"S. Arizona, Mexico (NE. Sonora, Durango)",perennial,subtropical,Amsonia grandiflora,Alexander,8451,,,,8432,12082-2,,Y,Amsonia grandiflora Alexander,12082-2,8451,Amsonia
1211,Ophiorrhiza pectinata,758560-1,Ophiorrhiza pectinata,Ophiorrhiza pectinata Arn.,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140539,758560-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,pectinata,,,,Arn.,,Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur., 18: 338,(1836),,"S. India, C. Sri Lanka",subshrub,wet tropical,Ophiorrhiza pectinata,Arn.,140539,,,,140250,758560-1,,Y,Ophiorrhiza pectinata Arn.,758560-1,140539,Ophiorrhiza
1212,Ophiorrhiza rosea,758591-1,Ophiorrhiza rosea,Ophiorrhiza rosea Hook.f.,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140580,758591-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,rosea,,,,Hook.f.,,Fl. Brit. India, 3: 78,(1880),,E. Himalaya to China (Yunnan) and Pen. Malaysia,perennial or subshrub,subtropical,Ophiorrhiza rosea,Hook.f.,140580,,,,140250,758591-1,,Y,Ophiorrhiza rosea Hook.f.,758591-1,140580,Ophiorrhiza
1213,Amsonia tabernaemontana,76931-1,Amsonia tabernaemontana,Amsonia tabernaemontana Walter,Apocynaceae,Species,Amsonia,Amsonia Walter,8432,2194-1,Genus,8474,76931-1,Species,Accepted,Apocynaceae,,Amsonia,,tabernaemontana,,,,Walter,,Fl. Carol.,: 98,(1788),,C. & E. U.S.A.,perennial,temperate,Amsonia tabernaemontana,Walter,8474,,,,8432,76931-1,,Y,Amsonia tabernaemontana Walter,76931-1,8474,Amsonia
1214,Ophiorrhiza rugosa,758602-1,Ophiorrhiza rugosa,Ophiorrhiza rugosa Wall.,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140590,758602-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,rugosa,,,,Wall.,W.Roxburgh,Fl. Ind., 2: 546,(1824),,Indian Subcontinent to China (Yunnan) and Pen. Malaysia,subshrub,subtropical,Ophiorrhiza rugosa,Wall.,140590,,,,140250,758602-1,,Y,Ophiorrhiza rugosa Wall.,758602-1,140590,Ophiorrhiza
1215,Ophiorrhiza nutans,758539-1,Ophiorrhiza nutans,Ophiorrhiza nutans C.B.Clarke,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140515,758539-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,nutans,,,,C.B.Clarke,J.D.Hooker,Fl. Brit. India, 3: 84,(1880),,C. Himalaya to China (Yunnan),perennial or subshrub,subtropical,Ophiorrhiza nutans,C.B.Clarke,140515,,,,140250,758539-1,,Y,Ophiorrhiza nutans C.B.Clarke,758539-1,140515,Ophiorrhiza
1216,Ophiorrhiza pumila,758576-1,Ophiorrhiza pumila,Ophiorrhiza pumila Champ. ex Benth.,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140558,758576-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,pumila,,,,Champ. ex Benth.,,Hooker's J. Bot. Kew Gard. Misc., 4: 169,(1852),,"S. China to N. Vietnam, Japan (Yakushima) to Taiwan",perennial or subshrub,subtropical,Ophiorrhiza pumila,Champ. ex Benth.,140558,,,,140250,758576-1,,Y,Ophiorrhiza pumila Champ. ex Benth.,758576-1,140558,Ophiorrhiza
1217,Ophiorrhiza blumeana,758379-1,Ophiorrhiza blumeana,Ophiorrhiza blumeana Korth.,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140290,758379-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,blumeana,,,,Korth.,,Ned. Kruidk. Arch., 2(2): 130,(1851),,Jawa,perennial or subshrub,wet tropical,Ophiorrhiza blumeana,Korth.,140290,,,,140250,758379-1,,Y,Ophiorrhiza blumeana Korth.,758379-1,140290,Ophiorrhiza
1218,Oldenlandia corymbosa,757791-1,Oldenlandia corymbosa,Oldenlandia corymbosa L.,Rubiaceae,Species,Oldenlandia,Oldenlandia L.,138188,30014644-2,Genus,138322,757791-1,Species,Accepted,Rubiaceae,,Oldenlandia,,corymbosa,,,,L.,,Sp. Pl.,: 119,(1753),,Trop. & Subtrop. Old World,scrambling annual or subshrub,seasonally dry tropical,Oldenlandia corymbosa,L.,138322,,,,138188,757791-1,,Y,Oldenlandia corymbosa L.,757791-1,138322,Oldenlandia
1219,Amsonia tomentosa,76934-1,Amsonia tomentosa,Amsonia tomentosa Torr. & Frém.,Apocynaceae,Species,Amsonia,Amsonia Walter,8432,2194-1,Genus,8481,76934-1,Species,Accepted,Apocynaceae,,Amsonia,,tomentosa,,,,Torr. & Frém.,J.C.Frémont,Rep. Exped. Rocky Mts.,: 316,(1845),,SW. & SC. U.S.A. to NE. Mexico,perennial,subtropical,Amsonia tomentosa,Torr. & Frém.,8481,,,,8432,76934-1,,Y,Amsonia tomentosa Torr. & Frém.,76934-1,8481,Amsonia
1220,Ophiorrhiza acuminata,758348-1,Ophiorrhiza acuminata,Ophiorrhiza acuminata DC.,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140251,758348-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,acuminata,,,,DC.,,Prodr., 4: 416,(1830),,Philippines,,wet tropical,Ophiorrhiza acuminata,DC.,140251,,,,140250,758348-1,,Y,Ophiorrhiza acuminata DC.,758348-1,140251,Ophiorrhiza
1221,Ophiorrhiza japonica,758479-1,Ophiorrhiza japonica,Ophiorrhiza japonica Blume,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140419,758479-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,japonica,,,,Blume,,Bijdr. Fl. Ned. Ind.,: 978,(1826),,"C. China to Vietnam, Japan to Taiwan",perennial or subshrub,temperate,Ophiorrhiza japonica,Blume,140419,,,,140250,758479-1,,Y,Ophiorrhiza japonica Blume,758479-1,140419,Ophiorrhiza
1222,Ophiorrhiza mungos,758527-1,Ophiorrhiza mungos,Ophiorrhiza mungos L.,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140493,758527-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,mungos,,,,L.,,Sp. Pl.,: 150,(1753),,India to W. Malesia,perennial or subshrub,wet tropical,Ophiorrhiza mungos,L.,140493,,,,140250,758527-1,,Y,Ophiorrhiza mungos L.,758527-1,140493,Ophiorrhiza
1223,Amsonia orientalis,76921-1,Amsonia orientalis,Amsonia orientalis Decne.,Apocynaceae,Species,Amsonia,Amsonia Walter,8432,2194-1,Genus,8464,76921-1,Species,Accepted,Apocynaceae,,Amsonia,,orientalis,,,,Decne.,V.Jacquemont,Voy. Inde, 4: 105,(1843),,Greece (Thrace) to NW. Türkiye,perennial,temperate,Amsonia orientalis,Decne.,8464,,,,8432,76921-1,,Y,Amsonia orientalis Decne.,76921-1,8464,Amsonia
1224,Cephalanthus occidentalis,319140-2,Cephalanthus occidentalis,Cephalanthus occidentalis L.,Rubiaceae,Species,Cephalanthus,Cephalanthus L.,36697,34312-1,Genus,36721,319140-2,Species,Accepted,Rubiaceae,,Cephalanthus,,occidentalis,,,,L.,,Sp. Pl.,: 95,(1753),,"E. Canada to C. America, Cuba",shrub,temperate,Cephalanthus occidentalis,L.,36721,,,,36697,319140-2,,Y,Cephalanthus occidentalis L.,319140-2,36721,Cephalanthus
1225,Coffea vianneyi,747303-1,Coffea vianneyi,Coffea vianneyi J.-F.Leroy,Rubiaceae,Species,Coffea,Coffea L.,45380,325985-2,Genus,45766,747303-1,Species,Accepted,Rubiaceae,,Coffea,,vianneyi,,,,J.-F.Leroy,,J. Agric. Trop. Bot. Appl., 9: 222,(1962),,SE. Madagascar,tree,wet tropical,Coffea vianneyi,J.-F.Leroy,45766,,,,45380,747303-1,,Y,Coffea vianneyi J.-F.Leroy,747303-1,45766,Coffea
1226,Oldenlandia umbellata,758254-1,Oldenlandia umbellata,Oldenlandia umbellata L.,Rubiaceae,Species,Oldenlandia,Oldenlandia L.,138188,30014644-2,Genus,138847,758254-1,Species,Accepted,Rubiaceae,,Oldenlandia,,umbellata,,,,L.,,Sp. Pl.,: 119,(1753),,Hainan to Trop. Asia,annual or subshrub,seasonally dry tropical,Oldenlandia umbellata,L.,138847,,,,138188,758254-1,,Y,Oldenlandia umbellata L.,758254-1,138847,Oldenlandia
1227,Ophiorrhiza shendurunii,1005654-1,Ophiorrhiza shendurunii,"Ophiorrhiza shendurunii A.E.S.Khan, E.S.S.Kumar & Pushp.",Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140611,1005654-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,shendurunii,,,,"A.E.S.Khan, E.S.S.Kumar & Pushp.",,J. Bombay Nat. Hist. Soc., 95: 317,(1998),,India (Kerala),subshrub,seasonally dry tropical,Ophiorrhiza shendurunii,"A.E.S.Khan, E.S.S.Kumar & Pushp.",140611,,,,140250,1005654-1,,Y,"Ophiorrhiza shendurunii A.E.S.Khan, E.S.S.Kumar & Pushp.",1005654-1,140611,Ophiorrhiza
1228,Ophiorrhiza kunstleri,758486-1,Ophiorrhiza kunstleri,Ophiorrhiza kunstleri King,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140432,758486-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,kunstleri,,,,King,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.", 72: 176,(1904),,Pen. Thailand to Pen. Malaysia,subshrub,wet tropical,Ophiorrhiza kunstleri,King,140432,,,,140250,758486-1,,Y,Ophiorrhiza kunstleri King,758486-1,140432,Ophiorrhiza
1229,Ophiorrhiza bracteata,758383-1,Ophiorrhiza bracteata,Ophiorrhiza bracteata Korth.,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140295,758383-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,bracteata,,,,Korth.,,Ned. Kruidk. Arch., 2(2): 131,(1851),,Jawa,perennial or subshrub,wet tropical,Ophiorrhiza bracteata,Korth.,140295,,,,140250,758383-1,,Y,Ophiorrhiza bracteata Korth.,758383-1,140295,Ophiorrhiza
1230,Ophiorrhiza ferruginea,758436-1,Ophiorrhiza ferruginea,Ophiorrhiza ferruginea Valeton,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140367,758436-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,ferruginea,,,,Valeton,,Bot. Jahrb. Syst., 44: 545,(1910),,Borneo,,wet tropical,Ophiorrhiza ferruginea,Valeton,140367,,,,140250,758436-1,,Y,Ophiorrhiza ferruginea Valeton,758436-1,140367,Ophiorrhiza
1231,Ophiorrhiza marginata,758518-1,Ophiorrhiza marginata,Ophiorrhiza marginata Blume,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140482,758518-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,marginata,,,,Blume,,Bijdr. Fl. Ned. Ind.,: 976,(1826),,Jawa,perennial or subshrub,wet tropical,Ophiorrhiza marginata,Blume,140482,,,,140250,758518-1,,Y,Ophiorrhiza marginata Blume,758518-1,140482,Ophiorrhiza
1232,Ophiorrhiza discolor,758420-1,Ophiorrhiza discolor,Ophiorrhiza discolor R.Br. ex G.Don,Rubiaceae,Species,Ophiorrhiza,Ophiorrhiza L.,140250,30280723-2,Genus,140345,758420-1,Species,Accepted,Rubiaceae,,Ophiorrhiza,,discolor,,,,R.Br. ex G.Don,,Gen. Hist., 3: 522,(1834),,S. Myanmar to Pen. Malaysia,subshrub,wet tropical,Ophiorrhiza discolor,R.Br. ex G.Don,140345,,,,140250,758420-1,,Y,Ophiorrhiza discolor R.Br. ex G.Don,758420-1,140345,Ophiorrhiza
1233,Gentiana punctata,368760-1,Gentiana punctata,Gentiana punctata L.,Gentianaceae,Species,Gentiana,Gentiana Tourn. ex L.,2819805,30001281-2,Genus,2821301,368760-1,Species,Accepted,Gentianaceae,,Gentiana,,punctata,,,,L.,,Sp. Pl.,: 227,(1753),,Mts. of C. Europe to N. Greece,perennial,temperate,Gentiana punctata,L.,2821301,,,,2819805,368760-1,,N,Gentiana punctata L.,368760-1,2821301,Gentiana
1234,Gentiana pannonica,368631-1,Gentiana pannonica,Gentiana pannonica Scop.,Gentianaceae,Species,Gentiana,Gentiana Tourn. ex L.,2819805,30001281-2,Genus,2821117,368631-1,Species,Accepted,Gentianaceae,,Gentiana,,pannonica,,,,Scop.,,Fl. Carniol.,", ed. 2, 1: 182",(1771),,C. Europe,perennial,temperate,Gentiana pannonica,Scop.,2821117,,,,2819805,368631-1,,N,Gentiana pannonica Scop.,368631-1,2821117,Gentiana
