,accepted_species,accepted_species_w_author,native_tdwg3_codes,intro_tdwg3_codes
20058,Simira robusta,"Simira robusta Margalho, G.S.Siqueira & Groppo","('BZL',)",
20059,Simira rubescens,Simira rubescens (Benth.) Bremek. ex Steyerm.,"('BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'ECU', 'PER', 'VEN')",
20060,Simira rubra,Simira rubra (Mart.) Steyerm.,"('BZL',)",
20061,Simira salvadorensis,Simira salvadorensis (Standl.) Steyerm.,"('BLZ', 'ELS', 'GUA', 'HON', 'MXG', 'MXS', 'MXT')",
20062,Simira sampaioana,Simira sampaioana (Standl.) Steyerm.,"('AGE', 'BZL', 'BZS', 'PAR')",
20063,Simira standleyi,Simira standleyi (Little) Steyerm.,"('ECU',)",
20064,Simira tinctoria,Simira tinctoria Aubl.,"('CLM', 'ECU', 'FRG', 'PER', 'SUR')",
20065,Simira walteri,Simira walteri Silva Neto & Callado,"('BZL',)",
20066,Simira williamsii,Simira williamsii (Standl.) Steyerm.,"('BZN', 'PER')",
20067,Simira wurdackii,Simira wurdackii Steyerm.,"('PER',)",
20068,Sindechites henryi,Sindechites henryi Oliv.,"('CHC', 'CHS')",
20069,Singaporandia macrophylla,Singaporandia macrophylla (Hook.f.) K.M.Wong,"('MLY', 'SUM', 'THA')",
20070,Sinogentiana souliei,Sinogentiana souliei (Franch.) Adr.Favre & Y.M.Yuan,"('CHC',)",
20071,Sinogentiana striata,Sinogentiana striata (Maxim.) Adr.Favre & Y.M.Yuan,"('CHC', 'CHI', 'CHN', 'CHQ')",
20072,Sinomarsdenia incisa,Sinomarsdenia incisa (P.T.Li & Y.H.Li) P.T.Li & J.J.Chen,"('CHC',)",
20073,Sinoswertia tetraptera,"Sinoswertia tetraptera (Maxim.) T.N.Ho, S.W.Liu & J.Q.Liu","('CHC', 'CHI', 'CHN', 'CHQ', 'CHT')",
20074,Sipanea ayangannensis,Sipanea ayangannensis Steyerm.,"('GUY',)",
20075,Sipanea biflora,Sipanea biflora (Rottb.) Cham. & Schltdl.,"('BZC', 'BZE', 'BZN', 'CLM', 'COS', 'FRG', 'GUY', 'NIC', 'PAN', 'SUR', 'VEN')",
20076,Sipanea carrenoi,Sipanea carrenoi Steyerm.,"('VEN',)",
20077,Sipanea cowanii,Sipanea cowanii Steyerm.,"('GUY',)",
20078,Sipanea galioides,Sipanea galioides Wernham,"('GUY', 'VEN')",
20079,Sipanea glaberrima,Sipanea glaberrima (Bremek.) Steyerm.,"('SUR',)",
20080,Sipanea glabrata,Sipanea glabrata Wernham,"('BZC',)",
20081,Sipanea gleasonii,Sipanea gleasonii Steyerm.,"('GUY',)",
20082,Sipanea glomerata,Sipanea glomerata Kunth,"('BZN', 'CLM', 'VEN')",
20083,Sipanea hispida,Sipanea hispida Benth. ex Wernham,"('BOL', 'BZC', 'BZL', 'BZN', 'CLM', 'PAR', 'PER', 'VEN')",
20084,Sipanea micrantha,Sipanea micrantha Sandwith,"('GUY',)",
20085,Sipanea ovalifolia,Sipanea ovalifolia Bremek.,"('FRG', 'SUR')",
20086,Sipanea prancei,Sipanea prancei Steyerm.,"('BZN',)",
20087,Sipanea pratensis,Sipanea pratensis Aubl.,"('BOL', 'BZC', 'BZL', 'BZN', 'CLM', 'FRG', 'GUY', 'SUR', 'TRT', 'VEN')",
20088,Sipanea saxicola,Sipanea saxicola J.H.Kirkbr.,"('BZN',)",
20089,Sipanea setacea,Sipanea setacea Steyerm.,"('VEN',)",
20090,Sipanea stahelii,Sipanea stahelii Bremek.,"('BZN', 'SUR')",
20091,Sipanea veris,Sipanea veris S.Moore,"('BOL', 'BZC', 'BZN', 'CLM', 'VEN')",
20092,Sipanea wilson-brownei,Sipanea wilson-brownei Cowan,"('BZN', 'FRG', 'GUY', 'VEN')",
20093,Sipaneopsis cururuensis,Sipaneopsis cururuensis J.H.Kirkbr.,"('BZN',)",
20094,Sipaneopsis duckei,Sipaneopsis duckei Delprete,"('BZN',)",
20095,Sipaneopsis foldatsii,Sipaneopsis foldatsii Steyerm.,"('VEN',)",
20096,Sipaneopsis huberi,Sipaneopsis huberi Steyerm.,"('CLM', 'VEN')",
20097,Sipaneopsis maguirei,Sipaneopsis maguirei Steyerm.,"('BZN', 'CLM', 'VEN')",
20098,Sipaneopsis morichensis,Sipaneopsis morichensis Steyerm.,"('VEN',)",
20099,Sipaneopsis pacimonensis,Sipaneopsis pacimonensis Steyerm.,"('VEN',)",
20100,Sipaneopsis rupicola,Sipaneopsis rupicola (Spruce ex K.Schum.) Steyerm.,"('CLM', 'VEN')",
20101,Sipapoantha obtusisepala,"Sipapoantha obtusisepala Lepis, Maas & Struwe","('BZN',)",
20102,Sipapoantha ostrina,Sipapoantha ostrina Maguire & B.M.Boom,"('VEN',)",
20103,Siphonandrium intricatum,Siphonandrium intricatum K.Schum.,"('NWG',)",
20104,Sisyranthus anceps,Sisyranthus anceps Schltr.,"('NAT',)",
20105,Sisyranthus barbatus,Sisyranthus barbatus (Turcz.) N.E.Br.,"('CPP', 'NAT')",
20106,Sisyranthus compactus,Sisyranthus compactus N.E.Br.,"('CPP', 'NAT')",
20107,Sisyranthus fanniniae,Sisyranthus fanniniae N.E.Br.,"('NAT',)",
20108,Sisyranthus franksiae,Sisyranthus franksiae N.E.Br.,"('NAT',)",
20109,Sisyranthus huttoniae,Sisyranthus huttoniae (S.Moore) S.Moore,"('NAT', 'SWZ', 'TVL')",
20110,Sisyranthus imberbis,Sisyranthus imberbis Harv.,"('CPP', 'LES', 'MOZ', 'NAT', 'OFS', 'SWZ', 'TVL', 'ZIM')",
20111,Sisyranthus macer,Sisyranthus macer (E.Mey.) Schltr.,"('CPP',)",
20112,Sisyranthus randii,Sisyranthus randii S.Moore,"('LES', 'NAT', 'OFS', 'SWZ', 'TVL')",
20113,Sisyranthus rhodesicus,Sisyranthus rhodesicus Weim.,"('ZIM',)",
20114,Sisyranthus saundersiae,Sisyranthus saundersiae N.E.Br.,"('NAT',)",
20115,Sisyranthus sekhukhuniensis,Sisyranthus sekhukhuniensis Shabangu & Bester,"('TVL',)",
20116,Sisyranthus trichostomus,Sisyranthus trichostomus (Harv.) K.Schum.,"('CPP', 'NAT')",
20117,Sisyranthus virgatus,Sisyranthus virgatus E.Mey.,"('CPP', 'NAT', 'SWZ')",
20118,Sisyranthus vryheidensis,Sisyranthus vryheidensis Shabangu & Bester,"('NAT',)",
20119,Skytanthus acutus,Skytanthus acutus Meyen,"('CLC', 'CLN')",
20120,Skytanthus hancorniifolius,Skytanthus hancorniifolius (A.DC.) Miers,"('BZE', 'BZL')",
20121,Skytanthus martianus,Skytanthus martianus (Müll.Arg.) Miers,"('BZE', 'BZL')",
20122,Socotrella dolichocnema,Socotrella dolichocnema Bruyns,"('SOC',)",
20123,Solenandra angustifolia,Solenandra angustifolia (Sw.) Paudyal & Delprete,"('HAI',)",
20124,Solenandra brachycarpa,Solenandra brachycarpa (Sw.) Paudyal & Delprete,"('JAM',)",
20125,Solenandra cordata,Solenandra cordata (Borhidi & M.Fernández) Borhidi,"('CUB',)",
20126,Solenandra curbeloi,Solenandra curbeloi (Borhidi & M.Fernández) Borhidi,"('CUB',)",
20127,Solenandra elliptica,Solenandra elliptica (Griseb.) Paudyal & Delprete,"('CUB', 'DOM', 'HAI', 'PUE')",
20128,Solenandra ixoroides,Solenandra ixoroides Hook.f.,"('CUB',)",
20129,Solenandra lineata,Solenandra lineata (Vahl) Paudyal & Delprete,"('DOM', 'HAI')",
20130,Solenandra longiflora,Solenandra longiflora (Lamb.) Paudyal & Delprete,"('CUB', 'DOM', 'HAI')",
20131,Solenandra mexicana,Solenandra mexicana (A.Gray) Borhidi,"('BLZ', 'COS', 'ELS', 'GUA', 'HON', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN')",
20132,Solenandra microcarpa,Solenandra microcarpa (Borhidi & M.Fernández) Borhidi,"('CUB',)",
20133,Solenandra myrtifolia,Solenandra myrtifolia (Griseb.) Borhidi,"('CUB',)",
20134,Solenandra parviflora,Solenandra parviflora (A.Rich. ex Bonpl.) Borhidi,"('CUB', 'DOM', 'HAI')",
20135,Solenandra pervestita,Solenandra pervestita (Borhidi & M.Fernández) Borhidi,"('CUB',)",
20136,Solenandra polyphylla,Solenandra polyphylla (Urb. & Ekman) Paudyal & Delprete,"('HAI',)",
20137,Solenandra pulverulenta,Solenandra pulverulenta (Borhidi) Borhidi,"('CUB',)",
20138,Solenandra rotundata,Solenandra rotundata (Griseb.) Paudyal & Delprete,"('CUB',)",
20139,Solenandra sanctae-luciae,Solenandra sanctae-luciae (Kentish) Paudyal & Delprete,"('TRT', 'WIN')",
20140,Solenandra selleana,Solenandra selleana (Urb. & Ekman) Borhidi,"('CUB', 'DOM', 'HAI')",
20141,Solenandra stenophylla,Solenandra stenophylla (Britton) Paudyal & Delprete,"('CUB',)",
20142,Solenandra triflora,Solenandra triflora (W.Wright) Paudyal & Delprete,"('JAM',)",
20143,Solenandra velutina,Solenandra velutina (Standl.) Borhidi,"('CUB',)",
20144,Solenostemma arghel,Solenostemma arghel (Delile) Hayne,"('ALG', 'CHA', 'EGY', 'LBY', 'MLI', 'NGR', 'PAL', 'SAU', 'SIN', 'SUD')",
20145,Sommera arborescens,Sommera arborescens Schltdl.,"('GUA', 'MXC', 'MXG', 'MXS', 'MXT')",
20146,Sommera chiapensis,Sommera chiapensis Brandegee,"('GUA', 'HON', 'MXT')",
20147,Sommera cusucoana,"Sommera cusucoana Lorence, D.Kelly & A.Dietzsch","('HON',)",
20148,Sommera donnell-smithii,Sommera donnell-smithii Standl.,"('CLM', 'COS', 'NIC', 'PAN')",
20149,Sommera fusca,Sommera fusca Oerst. ex Standl.,"('MXS', 'MXT')",
20150,Sommera grandis,Sommera grandis (Bartl. ex DC.) Standl.,"('HON', 'MXN', 'MXS', 'PAN')",
20151,Sommera guatemalensis,Sommera guatemalensis Standl.,"('GUA', 'MXG', 'MXS', 'MXT')",
20152,Sommera montana,Sommera montana L.O.Williams,"('HON',)",
20153,Sommera parva,Sommera parva Lorence,"('MXT',)",
20154,Sommera purdiei,Sommera purdiei Standl.,"('CLM', 'ECU')",
20155,Sommera sabiceoides,Sommera sabiceoides K.Schum.,"('BZN', 'CLM', 'ECU', 'PER')",
20156,Spermacoce adscendens,Spermacoce adscendens Willd.,"('MDG',)",
20157,Spermacoce aequabilis,Spermacoce aequabilis Harwood,"('NTA',)",
20158,Spermacoce affinis,Spermacoce affinis (DC.) R.M.Salas,"('AGE', 'AGW', 'BOL', 'BZC', 'PAR')",
20159,Spermacoce alata,Spermacoce alata Aubl.,"('BZC', 'BZN', 'CLM', 'FRG', 'GUY', 'SUR', 'VEN')",
20160,Spermacoce amapaensis,Spermacoce amapaensis (E.L.Cabral & Bacigalupo) ined.,"('BZN',)",
20161,Spermacoce angustifolia,Spermacoce angustifolia (Span.) Boerl.,"('LSI',)",
20162,Spermacoce annua,Spermacoce annua Verdc.,"('ZAM',)",
20163,Spermacoce aprica,Spermacoce aprica (Hiern) Govaerts,"('ANG',)",
20164,Spermacoce aquatica,Spermacoce aquatica Vell.,"('BZL',)",
20165,Spermacoce aretioides,Spermacoce aretioides (Griseb.) Kuntze,"('CUB',)",
20166,Spermacoce argentea,Spermacoce argentea (Cham.) Kuntze,"('BZL', 'BZS', 'PAR')",
20167,Spermacoce argillacea,Spermacoce argillacea Harwood,"('NTA', 'QLD', 'WAU')",
20168,Spermacoce aristeguietana,Spermacoce aristeguietana (Steyerm.) Govaerts,"('VEN',)",
20169,Spermacoce articularis,Spermacoce articularis L.f.,"('AND', 'ASS', 'BAN', 'BOR', 'CHS', 'EHM', 'IND', 'JAW', 'LSI', 'MLY', 'MOL', 'MYA', 'NEP', 'NNS', 'NTA', 'PHI', 'QLD', 'SOL', 'SRL', 'SUL', 'TAI', 'VIE')","('MAU', 'MDG', 'TAN')"
20170,Spermacoce arvensis,Spermacoce arvensis (Hiern) R.D.Good,"('ANG', 'CON', 'MLW', 'MOZ', 'TAN', 'ZAM', 'ZIM')",
20171,Spermacoce aurantiiseta,Spermacoce aurantiiseta Harwood,"('NTA',)",
20172,Spermacoce auriculata,Spermacoce auriculata F.Muell.,"('NTA', 'QLD')","('BAN',)"
20173,Spermacoce azurea,Spermacoce azurea Verdc.,"('TAN',)",
20174,Spermacoce bahamensis,Spermacoce bahamensis (Britton) Howard,"('BAH', 'LEE', 'TCI')",
20175,Spermacoce bahiana,Spermacoce bahiana (E.L.Cabral) ined.,"('BZE',)",
20176,Spermacoce baileyana,Spermacoce baileyana Domin,"('NWG', 'QLD')",
20177,Spermacoce bambusicola,Spermacoce bambusicola (Berhaut) J.-P.Lebrun & Stork,"('GAM', 'GNB', 'GUI', 'SEN', 'SIE')",
20178,Spermacoce bangweolensis,Spermacoce bangweolensis (R.E.Fr.) Verdc.,"('ZAM',)",
20179,Spermacoce bequaertii,Spermacoce bequaertii (De Wild.) Verdc.,"('CON', 'GAB', 'ZAI')",
20180,Spermacoce berteroana,Spermacoce berteroana Howard,"('LEE', 'WIN')",
20181,Spermacoce bisepala,Spermacoce bisepala Verdc.,"('ZIM',)",
20182,Spermacoce bolivarensis,Spermacoce bolivarensis (Steyerm.) Govaerts,"('VEN',)",
20183,Spermacoce brachyantha,Spermacoce brachyantha Verdc.,"('SOM',)",
20184,Spermacoce brachysepala,Spermacoce brachysepala (Urb.) Alain,"('DOM', 'HAI', 'PUE')",
20185,Spermacoce brachystema,Spermacoce brachystema R.Br. ex Benth.,"('NSW', 'NTA', 'QLD')",
20186,Spermacoce brachystemonoides,Spermacoce brachystemonoides (Cham. & Schltdl.) Kuntze,"('AGE', 'BOL', 'BZC', 'BZL', 'BZN', 'BZS', 'PAR')",
20187,Spermacoce bradei,Spermacoce bradei (Standl.) Govaerts,"('BZL',)",
20188,Spermacoce brassii,Spermacoce brassii Gideon,"('NWG',)",
20189,Spermacoce brevicilia,Spermacoce brevicilia Harwood,"('NTA',)",
20190,Spermacoce brevidens,Spermacoce brevidens Harwood,"('NTA',)",
20191,Spermacoce breviflora,Spermacoce breviflora F.Muell. ex Benth.,"('NTA', 'WAU')",
20192,Spermacoce brittonii,Spermacoce brittonii (Standl.) Howard,"('TCI',)",
20193,Spermacoce brownii,Spermacoce brownii Rusby,"('AGW', 'BOL', 'BZE', 'BZS', 'COS', 'ELS', 'GUA', 'HON', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'VEN')",
20194,Spermacoce buchneri,Spermacoce buchneri (K.Schum.) Govaerts,"('ANG',)",
20195,Spermacoce buckleyi,Spermacoce buckleyi Fosberg,"('QLD',)",
20196,Spermacoce burchellii,Spermacoce burchellii (E.L.Cabral & Bacigalupo) Delprete,"('BZC', 'BZN')",
20197,Spermacoce burmanni,Spermacoce burmanni DC.,"('IND',)",
20198,Spermacoce calliantha,Spermacoce calliantha Harwood,"('NTA',)",
20199,Spermacoce capillaris,Spermacoce capillaris (Correll) Howard,"('TCI',)",
20200,Spermacoce capitata,Spermacoce capitata Ruiz & Pav.,"('AGE', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'FRG', 'GUY', 'PAN', 'PAR', 'PER', 'SUR', 'URU', 'VEN')",
20201,Spermacoce cardiophora,Spermacoce cardiophora Harwood,"('NTA',)",
20202,Spermacoce cassuangensis,Spermacoce cassuangensis R.D.Good,"('ANG',)",
20203,Spermacoce cataractarum,Spermacoce cataractarum (Steyerm.) Govaerts,"('GUY', 'VEN')",
20204,Spermacoce caudata,Spermacoce caudata Harwood,"('NTA',)",
20205,Spermacoce cerradoana,"Spermacoce cerradoana (E.L.Cabral, R.M.Salas & J.D.Soto) Govaerts","('BOL', 'BZC')",
20206,Spermacoce chaetocephala,Spermacoce chaetocephala DC.,"('BKN', 'BUR', 'CAF', 'CHA', 'CMN', 'CON', 'ERI', 'ETH', 'KEN', 'MLI', 'MOZ', 'MTN', 'NGA', 'SEN', 'SUD', 'TAN', 'UGA', 'ZAM', 'ZIM')",
20207,Spermacoce chartensis,Spermacoce chartensis (Standl.) Govaerts,"('CLM',)",
20208,Spermacoce clinopodioides,Spermacoce clinopodioides (Standl.) Govaerts,"('BOL', 'BZC', 'BZE')",
20209,Spermacoce confertifolia,Spermacoce confertifolia (Steyerm.) Govaerts,"('GUY', 'VEN')",
20210,Spermacoce confusa,Spermacoce confusa Rendle,"('AGW', 'ARU', 'BAH', 'BOL', 'BZE', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'FLA', 'GUA', 'HON', 'JAM', 'LEE', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'NLA', 'PAN', 'PAR', 'PER', 'PUE', 'TCI', 'TRT', 'VEN')",
20211,Spermacoce congensis,Spermacoce congensis (Bremek.) Verdc.,"('MLW', 'TAN', 'ZAI', 'ZAM')",
20212,Spermacoce congestanthera,Spermacoce congestanthera Harwood,"('NTA',)",
20213,Spermacoce constricta,Spermacoce constricta Harwood,"('NTA', 'WAU')",
20214,Spermacoce crispata,Spermacoce crispata (K.Schum.) Delprete,"('BZC', 'BZE', 'BZL', 'BZN')",
20215,Spermacoce cristulata,Spermacoce cristulata Domin,"('QLD',)",
20216,Spermacoce cupularis,Spermacoce cupularis (DC.) Kuntze,"('BOL', 'BZC', 'BZL', 'BZN', 'PAR', 'PER')",
20217,Spermacoce dasycephala,Spermacoce dasycephala (Cham. & Schltdl.) Delprete,"('AGE', 'AGW', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'ECU', 'PAR', 'PER', 'URU')","('CPP',)"
20218,Spermacoce debilis,Spermacoce debilis Benth.,"('QLD',)",
20219,Spermacoce decipiens,Spermacoce decipiens (K.Schum.) Kuntze,"('BZE',)",
20220,Spermacoce decurrens,Spermacoce decurrens Vell.,"('BZL',)",
20221,Spermacoce delicatula,Spermacoce delicatula (E.L.Cabral) Delprete,"('BZN',)",
20222,Spermacoce densiflora,Spermacoce densiflora (DC.) Alain,"('AGE', 'AGW', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'GUA', 'GUY', 'HON', 'JAM', 'LEE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'PUE', 'TRT', 'VEN', 'WIN')",
20223,Spermacoce deserti,Spermacoce deserti N.E.Br.,"('BOT', 'CPP')",
20224,Spermacoce dibrachiata,Spermacoce dibrachiata Oliv.,"('ANG', 'BUR', 'MLW', 'MOZ', 'RWA', 'TAN', 'ZAI', 'ZAM', 'ZIM')",
20225,Spermacoce dimorpha,Spermacoce dimorpha (J.H.Kirkbr.) Delprete,"('BZC',)",
20226,Spermacoce discreta,Spermacoce discreta Harwood,"('NTA',)",
20227,Spermacoce dispersa,Spermacoce dispersa (Hook.f.) Kuntze,"('GAL',)",
20228,Spermacoce divaricata,Spermacoce divaricata (Hook.f.) Kuntze,"('GAL',)",
20229,Spermacoce diversistyla,Spermacoce diversistyla Harwood,"('NTA',)",
20230,Spermacoce dolichosperma,Spermacoce dolichosperma Harwood,"('NTA', 'QLD', 'WAU')",
20231,Spermacoce dussii,Spermacoce dussii (Standl.) Howard,"('LEE',)",
20232,Spermacoce egleri,Spermacoce egleri (Sucre & C.G.Costa) Govaerts,"('BZN',)",
20233,Spermacoce elaiosoma,Spermacoce elaiosoma Harwood,"('NTA',)",
20234,Spermacoce erectiloba,Spermacoce erectiloba Harwood,"('NTA',)",
20235,Spermacoce erioclada,Spermacoce erioclada DC.,"('PER',)",
20236,Spermacoce erosa,Spermacoce erosa Harwood,"('NTA',)",
20237,Spermacoce eryngioides,Spermacoce eryngioides (Cham. & Schltdl.) Kuntze,"('AGE', 'AGW', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'LEE', 'PAR', 'PUE', 'TRT', 'URU', 'WIN')",
20238,Spermacoce erythrosepala,Spermacoce erythrosepala Harwood,"('NTA',)",
20239,Spermacoce evenia,Spermacoce evenia (Standl.) Govaerts,"('BZL',)",
20240,Spermacoce everistiana,Spermacoce everistiana Fosberg,"('QLD',)",
20241,Spermacoce exasperata,Spermacoce exasperata Urb.,"('CUB',)",
20242,Spermacoce exilis,Spermacoce exilis (L.O.Williams) C.D.Adams ex W.C.Burger & C.M.Taylor,"('AGE', 'AGW', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'COS', 'CPI', 'CUB', 'DOM', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'JAM', 'MXC', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'PUE', 'SUR', 'TRT', 'VEN', 'WIN')","('AND', 'ASS', 'BEN', 'BOR', 'BUR', 'CAB', 'CAF', 'CHH', 'CHS', 'CMN', 'CON', 'CRL', 'EHM', 'ETH', 'FIJ', 'GAB', 'GGI', 'GHA', 'GNB', 'GUI', 'HAW', 'IND', 'IVO', 'JAW', 'LAO', 'LBR', 'LSI', 'MAU', 'MDG', 'MLW', 'MLY', 'MYA', 'NCB', 'NEP', 'NGA', 'NWG', 'PHI', 'SAM', 'SEN', 'SIE', 'SRL', 'SUL', 'TAI', 'TAN', 'THA', 'UGA', 'VIE', 'XMS', 'ZAI', 'ZAM')"
20243,Spermacoce fabiformis,Spermacoce fabiformis Harwood,"('NTA', 'QLD')",
20244,Spermacoce felis-insulae,Spermacoce felis-insulae (Correll) R.A.Howard,"('BAH',)",
20245,Spermacoce filifolia,Spermacoce filifolia (Schumach. & Thonn.) J.-P.Lebrun & Stork,"('BEN', 'BKN', 'CAF', 'CHA', 'CMN', 'GHA', 'GNB', 'GUI', 'IVO', 'MLI', 'MLW', 'MTN', 'NGA', 'SEN', 'SUD', 'TAN', 'TOG', 'ZAI', 'ZAM', 'ZIM')",
20246,Spermacoce filiformis,Spermacoce filiformis Hiern,"('BEN', 'CAF', 'GAB', 'NGA', 'NGR')",
20247,Spermacoce filituba,Spermacoce filituba (K.Schum.) Verdc.,"('ETH', 'KEN', 'SOM', 'TAN')",
20248,Spermacoce flagelliformis,Spermacoce flagelliformis Poir.,"('COM', 'MAU', 'REU')",
20249,Spermacoce fruticosa,Spermacoce fruticosa (Standl.) Govaerts,"('HON',)",
20250,Spermacoce galeopsidis,Spermacoce galeopsidis DC.,"('SEN',)",
20251,Spermacoce garuensis,Spermacoce garuensis (K.Krause) Govaerts,"('CMN',)",
20252,Spermacoce gibba,Spermacoce gibba Harwood,"('NTA', 'WAU')",
20253,Spermacoce gilliesiae,Spermacoce gilliesiae (Specht) J.R.Clarkson,"('NTA',)",
20254,Spermacoce glabra,Spermacoce glabra Michx.,"('ALA', 'ARK', 'FLA', 'GEO', 'ILL', 'INI', 'KAN', 'KTY', 'LOU', 'MRY', 'MSI', 'MSO', 'OHI', 'OKL', 'PEN', 'SCA', 'TEN', 'TEX', 'VRG')",
20255,Spermacoce gracillima,Spermacoce gracillima (DC.) Delprete,"('BZC', 'BZN')",
20256,Spermacoce graniticola,Spermacoce graniticola Harwood,"('NTA',)",
20257,Spermacoce guimaraesensis,Spermacoce guimaraesensis (E.L.Cabral & Bacigalupo) ined.,"('BZC',)",
20258,Spermacoce hepperiana,Spermacoce hepperiana Verdc.,"('BEN', 'BKN', 'CAF', 'CON', 'GAB', 'GHA', 'GNB', 'GUI', 'IVO', 'LBR', 'MLI', 'NGA', 'SEN', 'SIE', 'SUD', 'TAN', 'TOG')",
20259,Spermacoce heteromorpha,Spermacoce heteromorpha Dessein,"('ZAI',)",
20260,Spermacoce hillii,Spermacoce hillii (Chippend.) Govaerts,"('NTA', 'QLD', 'WAU')",
20261,Spermacoce hispida,Spermacoce hispida L.,"('AND', 'ASS', 'BAN', 'CBD', 'CHH', 'CHS', 'EHM', 'IND', 'JAP', 'JAW', 'MLY', 'NEP', 'NNS', 'PHI', 'SCS', 'SOL', 'SRL', 'TAI', 'THA', 'VIE', 'WHM')","('CGS', 'CRL', 'TAN')"
20262,Spermacoce hockii,Spermacoce hockii (De Wild.) Dessein,"('ZAI',)",
20263,Spermacoce huillensis,Spermacoce huillensis (Hiern) R.D.Good,"('ANG', 'MLW', 'TAN', 'ZAM', 'ZIM')",
20264,Spermacoce humifusa,Spermacoce humifusa Willd.,"('CLM',)",
20265,Spermacoce hyssopifolia,Spermacoce hyssopifolia Willd.,"('BOL', 'BZC', 'BZN', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')",
20266,Spermacoce inaguensis,Spermacoce inaguensis (Britton) Howard,"('BAH',)",
20267,Spermacoce inaperta,Spermacoce inaperta F.Muell.,"('NTA',)",
20268,Spermacoce incognita,Spermacoce incognita (E.L.Cabral) Delprete,"('BZC', 'BZL', 'BZN')",
20269,Spermacoce inconspicua,Spermacoce inconspicua Bartl. ex DC.,"('PER',)",
20270,Spermacoce intricans,Spermacoce intricans (Hepper) H.M.Burkill,"('CAF', 'CMN', 'GAB', 'GHA', 'GUI', 'LBR', 'NGA', 'SEN', 'SIE')",
20271,Spermacoce intricata,Spermacoce intricata (Steyerm.) Govaerts,"('CLM', 'VEN')",
20272,Spermacoce ipecacuana,Spermacoce ipecacuana Larrañaga,"('URU',)",
20273,Spermacoce irwiniana,Spermacoce irwiniana (E.L.Cabral) Delprete,"('BZN',)",
20274,Spermacoce ivorensis,Spermacoce ivorensis Govaerts,"('GUI', 'IVO', 'LBR', 'SIE')",
20275,Spermacoce jacobsonii,Spermacoce jacobsonii F.M.Bailey,"('QLD',)",
20276,Spermacoce jaliscensis,Spermacoce jaliscensis M.E.Jones,"('MXS',)",
20277,Spermacoce jangouxii,Spermacoce jangouxii (Steyerm.) Govaerts,"('CLM', 'VEN')",
20278,Spermacoce johnwoodii,Spermacoce johnwoodii (E.L.Cabral & R.M.Salas) Govaerts,"('BOL',)",
20279,Spermacoce juncta,Spermacoce juncta Harwood,"('NTA',)",
20280,Spermacoce keyensis,Spermacoce keyensis Small,"('BAH', 'FLA', 'TEX')",
20281,Spermacoce kirkii,Spermacoce kirkii (Hiern) Verdc.,"('MOZ',)",
20282,Spermacoce laevicaulis,Spermacoce laevicaulis Miq.,"('IND', 'JAW', 'MLY', 'NEP')",
20283,Spermacoce laevigata,Spermacoce laevigata F.Muell.,"('NTA', 'WAU')",
20284,Spermacoce lagunensis,Spermacoce lagunensis (M.E.Jones) Govaerts,"('MXN',)",
20285,Spermacoce lamprosperma,Spermacoce lamprosperma Harwood,"('NTA',)",
20286,Spermacoce lancea,Spermacoce lancea (Hiern) Govaerts,"('ANG',)",
20287,Spermacoce lasiocarpa,Spermacoce lasiocarpa R.Br.,"('CMN', 'EHM', 'GUI', 'IND', 'JAP', 'KEN', 'LBR', 'MLW', 'MLY', 'MOZ', 'MYA', 'NEP', 'NGA', 'PHI', 'SEN', 'SIE', 'SRL', 'SUD', 'TAN', 'THA', 'UGA', 'VIE', 'WHM', 'ZAI', 'ZAM', 'ZIM')",
